query_index;facts_file;extracted_case_count;task;case_study_type;case_study;online_offline;input_for_model;input_type;normalization_notes;normalized_task;normalized_case_study_type;normalized_case_study;normalized_online_offline;normalized_input_for_model;normalized_input_type;top_k;pool_size
64;extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_a933cf332592.ttl;2;Remaining useful life estimation;Maintainable item;turbofan engine;Unknown synchronization;Not reported;Not reported;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported | input type dropped: Not reported;Remaining useful life estimation;;turbofan engine;;;;5;15
65;extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_aca7906e2b63.ttl;2;Remaining useful life estimation;Maintainable item;FactsBattery;Unknown synchronization;Not reported;Not reported;case-study type dropped: Maintainable item | case study dropped: FactsBattery | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported | input type dropped: Not reported;Remaining useful life estimation;;;;;;5;15
66;extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_b594a9ee5cb2.ttl;1;One step future state forecast;Maintainable item;Not reported;Unknown synchronization;Not reported;Not reported;case-study type dropped: Maintainable item | case study dropped: Not reported | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported | input type dropped: Not reported;One step future state forecast;;;;;;5;15
67;extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_b60ff608bd4b.ttl;2;Remaining useful life estimation;Maintainable item;large-scale mining equipment;Unknown synchronization;Not reported;Not reported;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported | input type dropped: Not reported;Remaining useful life estimation;;large-scale mining equipment;;;;5;15
68;extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_ba25cb3a823e.ttl;1;One step future state forecast;Maintainable item;Insulator;Unknown synchronization;Not reported;Leakage current, Heavy (HP) pollution level;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;One step future state forecast;;Insulator;;;Leakage current, Heavy (HP) pollution level;5;15
69;extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_bac0845f495f.ttl;1;Health assessment;Maintainable item;lithium-ion battery;Unknown synchronization;Not reported;FactsBatteryCurrent, factsBatterySoh, factsChargingCurveFeature3;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Health assessment;;lithium-ion battery;;;FactsBatteryCurrent, factsBatterySoh, factsChargingCurveFeature3;5;15
70;extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_be7e6c23b016.ttl;1;One step future state forecast;Maintainable item;Not reported;Unknown synchronization;Not reported;Not reported;case-study type dropped: Maintainable item | case study dropped: Not reported | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported | input type dropped: Not reported;One step future state forecast;;;;;;5;15
71;extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_c27ab4671a29.ttl;1;Remaining useful life estimation;Maintainable item;FactsRoboticFasteningSystem;Unknown synchronization;Not reported;FactsTorqueMonitoring;case-study type dropped: Maintainable item | case study dropped: FactsRoboticFasteningSystem | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported | input type dropped: FactsTorqueMonitoring;Remaining useful life estimation;;;;;;5;15
72;extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_c6db65a6433b.ttl;1;Remaining useful life estimation;Maintainable item;FactsAircraftEngineComponent;Unknown synchronization;Not reported;Not reported;case-study type dropped: Maintainable item | case study dropped: FactsAircraftEngineComponent | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported | input type dropped: Not reported;Remaining useful life estimation;;;;;;5;15
73;extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_c72bcc7ff5df.ttl;2;One step future state forecast;Maintainable item;Not reported;Unknown synchronization;Not reported;Not reported;case-study type dropped: Maintainable item | case study dropped: Not reported | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported | input type dropped: Not reported;One step future state forecast;;;;;;5;15
74;extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_c755cd0572dd.ttl;1;Remaining useful life estimation;Maintainable item;aeroengines;Unknown synchronization;Not reported;Not reported;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported | input type dropped: Not reported;Remaining useful life estimation;;aeroengines;;;;5;15
75;extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_c7f80acd8249.ttl;1;One step future state forecast;Maintainable item;Not reported;Unknown synchronization;Not reported;Not reported;case-study type dropped: Maintainable item | case study dropped: Not reported | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported | input type dropped: Not reported;One step future state forecast;;;;;;5;15
76;extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_c8939242503a.ttl;1;Fault detection;Maintainable item;FactsFault;Unknown synchronization;Not reported;FactsArrayVoltage;case-study type dropped: Maintainable item | case study dropped: FactsFault | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported | input type dropped: FactsArrayVoltage;Fault detection;;;;;;5;15
77;extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_cb41385fe115.ttl;2;One step future state forecast;Maintainable item;ASTRI-Horn Cherenkov telescope;Unknown synchronization;Not reported;FactsAstriHornMonitoringTimeSeries, Azimuth motor sensor measurements (aggregate), Elevation motor sensor measurements (aggregate);case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;One step future state forecast;;ASTRI-Horn Cherenkov telescope;;;FactsAstriHornMonitoringTimeSeries, Azimuth motor sensor measurements (aggregate), Elevation motor sensor measurements (aggregate);5;15
78;extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_ccf62781b4c5.ttl;1;One step future state forecast;Maintainable item;FactsFn280;Unknown synchronization;Not reported;FactsbodyForcePerUnitMass, FactsfluidCauchyStress, FactssolidDensity;case-study type dropped: Maintainable item | case study dropped: FactsFn280 | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;One step future state forecast;;;;;FactsbodyForcePerUnitMass, FactsfluidCauchyStress, FactssolidDensity;5;15
79;extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_cfc179a146da.ttl;1;One step future state forecast;Maintainable item;Valve spool (spool);Unknown synchronization;Not reported;Not reported;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported | input type dropped: Not reported;One step future state forecast;;Valve spool (spool);;;;5;15
80;extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_d8bff7381708.ttl;3;Remaining useful life estimation;Maintainable item;DTU research turbine (Vestas V52);Unknown synchronization;Not reported;FactsBladeRootStrainGauge, FactsScadaData;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Remaining useful life estimation;;DTU research turbine (Vestas V52);;;FactsBladeRootStrainGauge, FactsScadaData;5;15
81;extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_db4c696f6545.ttl;2;Fault detection;Maintainable item;FactsAsset;Unknown synchronization;Not reported;kurtosis, quadratic mean, skewness;case-study type dropped: Maintainable item | case study dropped: FactsAsset | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Fault detection;;;;;kurtosis, quadratic mean, skewness;5;15
82;extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_de5ca28afd63.ttl;1;Fault feature extraction;Maintainable item;NP-27T emergency hydraulic pump;Unknown synchronization;Not reported;particle count (ISO 4406), wear metal concentration (ICP-OES);case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Fault feature extraction;;NP-27T emergency hydraulic pump;;;particle count (ISO 4406), wear metal concentration (ICP-OES);5;15
83;extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_df8ade058f3c.ttl;1;One step future state forecast;Maintainable item;bearing;Unknown synchronization;Not reported;data partitioning methods, hyperparameter choices, network depth, vibration statistical features (time-domain, frequency-domain, time-frequency);case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;One step future state forecast;;bearing;;;data partitioning methods, hyperparameter choices, network depth, vibration statistical features (time-domain, frequency-domain, time-frequency);5;15
84;extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_e339faccffb2.ttl;1;Fault feature extraction;Maintainable item;Induction motor;Unknown synchronization;Not reported;12-dimensional feature space, stator currents;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Fault feature extraction;;Induction motor;;;12-dimensional feature space, stator currents;5;15
85;extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_e3fe4a88d35e.ttl;3;Remaining useful life estimation;Maintainable item;FactsAviationInverter;Unknown synchronization;Not reported;accelerated aging power cycling tests, variation of saturated voltage drop;case-study type dropped: Maintainable item | case study dropped: FactsAviationInverter | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Remaining useful life estimation;;;;;accelerated aging power cycling tests, variation of saturated voltage drop;5;15
86;extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_e6e38ea99070.ttl;1;Fault identification;Maintainable item;rotor shaft-disk;Unknown synchronization;Not reported;spectral features;case-study type dropped: Maintainable item | default online/offline dropped: Unknown synchronization | input-for-model dropped: Not reported;Fault identification;;rotor shaft-disk;;;spectral features;5;15
